question,ground_truth,prediction,reasoning
Kawasan yang melindungi tumbuhan di tempat asalnya ialah ….,A,A,Jawaban Akhir: A
Hewan di bawah ini yang mengalami metamorfosis tidak sempurna yaitu …,D,A,"Metamorfosis tidak sempurna terjadi pada hewan yang bertahan hidup sebagai larva yang sangat berbeda dari dewasa dan tidak mengalami tahap pupa. Berdasarkan pilihan yang diberikan:

- A. Katak mengalami metamorfosis sempurna, dimana mereka berubah dari tadpole ke katak dewasa.
- B. Lalat juga mengalami metamorfosis sempurna, dari larva lalat menjadi lalat dewasa.
- C. Kupu-kupu mengalami metamorfosis sempurna, dari larva ulat menjadi kupu-kupu dewasa.
- D. Kecoak mengalami metamorfosis tidak sempurna, karena mereka berubah dari larva kecoak menjadi kecoa dewasa tanpa tahap pupa.

Jadi, jawaban akhirnya adalah:

Jawaban Akhir: D"
"Mangga manis berbuah besar memiliki genotype MMBb, gamet untuk genotip tersebut adalah...",C,B,"Untuk menentukan gamet yang mungkin dihasilkan oleh mangga manis berbuah besar dengan genotipe MMBb, kita perlu mempertimbangkan kombinasi alel yang mungkin terjadi selama pembentukan gamet melalui meiosis.

Mangga manis (MM) memiliki satu alel dominan M dan satu alel resesif m. Berbuah besar (bb) memiliki dua alel resesif b. Karena ini adalah genotipe heterozigot untuk kedua sifat, kita dapat mengharapkan kombinasi alel yang berbeda dalam gametnya.

- Untuk alel M, mangga manis dapat menghasilkan gamet M atau m.
- Untuk alel b, mangga berbuah besar hanya dapat menghasilkan gamet b karena ia memiliki dua alel b.

Oleh karena itu, kombinasi gamet yang mungkin dari mangga manis berbuah besar dengan genotipe MMBb adalah:

1. Gamet dengan alel M dan b: Mb
2. Gamet dengan alel m dan b: mb

Jadi, jawaban akhirnya adalah:

C. MB, Mb"
"Berikut ini cara menghemat listrik, yaitu ....",C,C,"Jawaban Akhir: C

Penjelasan: 
Menghemat listrik adalah praktik yang penting untuk mengurangi penggunaan energi dan biaya serta membantu menjaga lingkungan. Pilihan A, yaitu menyalakan radio saat tidur, sebenarnya tidak menghemat listrik karena radio tetap menggunakan daya bahkan saat tidak digunakan. Pilihan B, yaitu banyak memasang lampu, juga tidak menghemat listrik karena akan meningkatkan konsumsi energi. Pilihan C, yaitu mematikan TV ketika tidak ditonton, adalah tindakan yang tepat untuk menghemat listrik karena TV hanya menggunakan daya saat menyala. Pilihan D, yaitu menggunakan oven listrik daripada kompor briket, mungkin lebih efisien dalam hal energi tergantung pada jenis dan usia peralatan yang digunakan, namun tidak secara langsung menghemat listrik. Oleh karena itu, jawaban yang paling tepat adalah C."
Contoh hewan yang mengalami metamorfosis sempurna adalah ...,C,C,Jawaban Akhir: C
Urutan proses metamorfosis pada kupu-kupu adalah …,D,D,Jawaban Akhir: D
Tanaman yang ditanam untuk  dijadikan sebagai hiasan pekarangan rumah dinamakan ...,D,D,Jawaban Akhir: D
Benda berikut ini yang termasuk isolator panas adalah ....,C,C,"Alasan sederhananya adalah bahwa benda-benda tersebut tidak memungkinkan aliran listrik karena mereka tidak mengandung logam. Pisau, kunci, dan gunting aluminium semuanya terbuat dari logam, sehingga dapat memungkinkan aliran listrik. Penggaris plastik, di sisi lain, biasanya terbuat dari bahan non-logam seperti plastik, yang tidak memungkinkan aliran listrik.

Jawaban Akhir: C"
Tata surya ialah ....,C,C,Jawaban Akhir: C
Benda angkasa pengiring planet disebut ….,C,C,Jawaban Akhir: C
"Suatu persilangan dihibrid menghasilkan keturunan F2 dengan rasio F2 dengan rasio fenotipe 9:7. Hal ini menunjukkan adanya penyimpangan semu hukum Mendel, yaitu ....
",C,A,"Untuk menentukan penyimpangan semu hukum Mendel yang terjadi pada persilangan dihibrid dengan rasio F2 9:7, kita perlu memahami konsep-konsep yang terlibat.

Hukum Mendel menyatakan bahwa kombinasi alel yang berbeda akan menghasilkan rasio 3:1 untuk dua sifat yang diwariskan secara independen. Namun, dalam beberapa kasus, rasio ini dapat berubah karena adanya interaksi genetik antara gen-gen tertentu.

Rasio 9:7 pada F2 menunjukkan bahwa ada dua gen yang terlibat dalam persilangan dihibrid, dan salah satu gen tersebut memiliki efek dominan yang lebih kuat daripada yang lain. Ini menunjukkan adanya interaksi genetik antara kedua gen tersebut.

Dari pilihan yang diberikan:

A. kriptomeri - Ini tidak berhubungan langsung dengan penyimpangan semu hukum Mendel.
B. interaksi gen (atavisme) - Ini adalah istilah yang lebih umum yang mencakup berbagai bentuk interaksi genetik, termasuk penyimpangan semu hukum Mendel.
C. gen komplementer - Ini mengacu pada hubungan di mana dua alel harus bersama-sama untuk mengekspresikan suatu sifat, yang tidak sesuai dengan rasio 9:7.
D. polimeri - Ini tidak berhubungan dengan hukum Mendel atau penyimpangan semu.
E. epistasis - Ini mengacu pada hubungan di mana satu gen mengontrol ekspresi gen lainnya, yang juga dapat menyebabkan penyimpangan dari rasio 3:1.

Mengingat rasio 9:"
" Seorang siswa mengamati tumbuhan dengan ciri-ciri, yaitu berakar tunggang, tidak berbunga sejati, berbiji, berdaun, batang bercabang. Bakal biji terdapat pada strobilus betina dan serbuk sari dalam strobilus jantan. Maka tumbuhan itu dapat digolongkan ke dalam ....",D,D,Jawaban Akhir: D
"Perhatikan fungsi zat makanan berikut ini!
1) Untuk pertumbuhan, perbaikan, dan pemeliharaan sel tubuh
2) Menjaga keseimbangan asam basa
3) Sebagai pelindung alat-alat tubuh
4) Penyusun hormone, enzim, dan zat antibody
5) Penahan rasa lapar karena memperlambat pencernaan
Fungsi lemak terdapat pada nomor ….
",C,E,"Lemak merupakan sumber energi yang penting bagi tubuh manusia. Selain itu, lemak juga berperan dalam menjaga keseimbangan asam basa tubuh. Oleh karena itu, jawaban akhirnya adalah E."
"Seorang perempuan Normal yang ayahnya Buta warna menikah dengan laki laki normal, bagaimana kemungkinan Anak prempuannya…..….
",D,B,"Solusi: 
1. Pertama, kita perlu memahami apa itu buta warna. Buta warna adalah kondisi di mana seseorang tidak dapat membedakan beberapa warna, terutama merah dan hijau.
2. Ayah perempuan normal adalah buta warna, yang berarti dia tidak memiliki gen untuk melihat warna merah dan hijau dengan baik.
3. Ibu perempuan normal memiliki gen untuk melihat warna dengan baik, yang berarti dia memiliki dua salinan gen untuk melihat warna (gen dominan).
4. Ketika seorang individu memiliki satu salinan gen dominan dan satu salinan gen resesif, mereka akan memiliki ciri khas dari gen resesif tersebut tetapi masih dapat melihat warna dengan baik. Ini disebut heterozigot.
5. Karena ayah perempuan normal adalah buta warna, dia memiliki dua salinan gen resesif (mm).
6. Ibu perempuan normal memiliki dua salinan gen dominan (MM).
7. Untuk menentukan kemungkinan anak-anak, kita harus menggabungkan genetik dari kedua orang tua.
8. Anak laki-laki akan mewarisi satu salinan gen dari ayah dan satu salinan gen dari ibu.
9. Karena ayah memiliki gen resesif (mm), ada kemungkinan 50% bahwa anak laki-laki akan mewarisi gen resesif (m) dan menjadi buta warna.
10. Karena ibu memiliki gen dominan (MM), ada kemungkinan 50% bahwa anak laki-laki akan mewarisi gen dominan (M) dan akan melihat warna dengan baik.

Jawaban Akhir: B. 50% buta warna 50%"
Fungsi jaringan getah bening atau limfa adalah mengangkut cairan getah bening dari jaringan tubuh ke …,B,C,Jawaban Akhir: C
"Ganggang atau alga dikelompokkan menjadi beberapa filum berdasarkan pigmen dominan yang dikandungnya. Manakah pernyataan di bawah ini yang tepat?
",D,A,"Jawaban Akhir: A

Alasan: 
- Rhodophyta, juga dikenal sebagai alga merah, mengandung pigmen fikosantin, yang memberi warna merah pada organisme ini.
- Phaeophyta, atau alga hitam, mengandung pigmen xantofil, yang memberi warna coklat pada organisme ini.
- Chrysophyta, atau alga kuning, mengandung pigmen fikoeritrin, yang memberi warna kuning pada organisme ini.
- Rhodophyta mengandung pigmen fikosantin, bukan fikoeritrin.
- Chlorophyta, atau alga hijau, mengandung pigmen klorofil, bukan karoten."
Dalam urine orang normal banyak terdapat....,B,B,"Jawaban Akhir: B

Alasan: Dalam urine orang normal, terdapat ureum sebagai produk limbah metabolisme yang dihasilkan dari protein. Ureum merupakan senyawa yang dihasilkan ketika tubuh memecah protein menjadi asam amino. Tubuh kemudian mengeluarkan ureum melalui ginjal dalam bentuk urine. Asam amino, albumin, glukosa, dan asam lemak serta gliserol tidak umum ditemukan dalam urine orang normal karena mereka adalah komponen penting dari tubuh dan biasanya tidak dilepaskan ke dalam urine kecuali ada gangguan pada fungsi ginjal atau kondisi medis tertentu."
Penggunaan herbisida oleh para petani sebenarnya merupakan kegiatan untuk ....,C,C,Jawaban Akhir: C
"ASI adalah Air susu ibu yang harus diberikan pada sang anak dari mulai 0 hari sampai usia 2 tahun pada manusia.   ASI memiliki keunggulan dan manfaat dilihat dari segala aspek, kecuali....",D,D,"Jawaban Akhir: D. Aspek keindahan

Alasan: ASI memiliki banyak keunggulan dan manfaat, termasuk aspek imunologis, gizi, dan kecerdasan. Namun, aspek keindahan bukanlah salah satu manfaat atau keunggulan dari ASI karena tidak ada hubungan langsung antara ASI dan penampilan fisik atau kecantikan."
"Pada metagenesis tumbuhan lumut, generasi yang bersifat diploid adalah ....",D,D,Jawaban Akhir: D
"Diketahui beberapa reaksi kimia berikut ini.
i. CH3-CH2-OH → CH2CH2 + H2O
ii. CH3-CO-Cl + NH3→ CH3-CO-NH2 + HCl
iii. CH2=CH2 + HBr → CH3-CH2-Br
Pernyataan yang benar untuk reaksi di atas adalah ….
1. reaksi i merupakan reaksi adisi
2. reaksi iii merupakan reaksi dehidrasi
3. reaksi ii merupakaan reaksi eliminasi
4. reaksi ii merupakan reaksi substitusi",C,A,Jawaban Akhir: A
reaksi pembentukan kalium palmitat dari asam palmitat dengan KOH disebut reaksi...,C,A,"Untuk menentukan jenis reaksi pembentukan kalium palmitat dari asam palmitat dengan KOH, mari kita analisis setiap opsi:

A. Saponifikasi: Ini adalah istilah yang umum digunakan untuk reaksi antara lemak atau asam lemak dengan alkali (seperti KOH) untuk membentuk garam (kalium palmitat) dan gliserol. Ini adalah proses yang digunakan untuk membuat sabun.

B. Esterifikasi: Esterifikasi adalah reaksi antara karbonil (seperti asam lemak) dengan alkohol untuk membentuk ester dan air. Ini bukan deskripsi yang tepat untuk reaksi yang diberikan.

C. Substitusi: Substitusi mengacu pada penggantian atom atau kelompok atom dalam senyawa. Ini tidak menggambarkan reaksi pembentukan kalium palmitat secara akurat.

D. Adisi: Reaksi adisi melibatkan penambahan dua atau lebih molekul ke dalam satu molekul lainnya. Ini tidak menggambarkan reaksi pembentukan kalium palmitat.

E. Hidrolisis: Hidrolisis adalah reaksi yang melibatkan perpecahan senyawa dengan air. Meskipun air terlibat dalam reaksi ini, hidrolisis tidak secara akurat menggambarkan proses pembentukan kalium palmitat.

Mengingat pertimbangan ini, jawaban yang benar adalah:

Jawaban Akhir: A"
"Unsur Xe merupakan golongan gas mulia yang sukar berikatan dengan unsur lain. Namun, seiring berkembangnya teknologi, ternyata dapat dibuat senyawa dari unsur Xe dengan unsur paling elektronegatif F yaitu XeF4. Geometri dan tipe hibridisasi pada molekul XeF4 (NA Xe = 54, F = 9) adalah…",A,A,"Untuk menentukan geometri dan tipe hibridisasi pada molekul XeF4, kita perlu mempertimbangkan jumlah orbital hibridis yang terlibat dalam pembentukan ikatan antara atom Xe dan F.

1. Atom Xe memiliki 8 elektron valensi, sedangkan atom F memiliki 7 elektron valensi.
2. Karena XeF4 mengandung 4 ikatan Xe-F, maka atom Xe akan membentuk 4 ikatan kovalen dengan atom F.
3. Untuk membentuk 4 ikatan kovalen, atom Xe harus mengalami hibridisasi orbital-nya.
4. Hibridisasi sp3d2 digunakan untuk membentuk molekul dengan 4 ikatan kovalen dan satu orbital unbound (untuk elektron valensi kelebihan).
5. Dalam hal ini, atom Xe akan mengalami hibridisasi sp3d2, yang menghasilkan 6 orbital hibridis.
6. Molekul XeF4 akan memiliki bentuk segi empat planar karena 4 ikatan kovalen membentuk sudut 90 derajat antara pasangan atom F.

Jadi, jawaban akhirnya adalah:

Jawaban Akhir: A"
"Konfigurasi elektron:
X = [Ne] s2 p5
Y = [Ne] s2 p3

Jika unsur X dan Y bersenyawa, bentuk molekul senyawa yang terjadi adalah...",C,C,"Alasan sederhananya adalah bahwa unsur X memiliki 7 elektron valensi (satu lebih dari helium) dan unsur Y memiliki 5 elektron valensi (tiga kurang dari helium). Ketika mereka bersenyawa, mereka akan berbagi elektron untuk mencapai konfigurasi elektron yang stabil seperti helium. 

Contohnya, jika kita mempertimbangkan unsur X sebagai nitrogen (N) dan unsur Y sebagai oksigen (O), ketika mereka bersenyawa membentuk molekul NO, mereka akan berbagi satu elektron untuk mencapai konfigurasi elektron yang stabil seperti helium. Molekul ini akan memiliki bentuk piramida segitiga karena satu atom nitrogen memiliki satu elektron valensi lebih daripada atom oksigen.

Jadi, jawaban akhirnya adalah:

Jawaban Akhir: C"
"Hidrolisis suatu makromolekul menghasilkan senyawa yang mempunyai gugus amino dan karboksilat. Makromolekul tersebut dapat berfungsi sebagai biokatalis yang mempercepat hidrolisis amilum. Makromolekul tersebut adalah ….
",A,A,"Untuk menentukan jawaban yang benar, kita perlu memahami fungsi dan karakteristik dari masing-masing pilihan.

A. amilase - Enzim ini memecah amilum menjadi glukosa melalui hidrolisis.
B. amilosa - Ini adalah bentuk non-ramah terhadap air dari amilum yang terdiri dari rantai panjang molekul glukosa.
C. amilopektin - Ini adalah bentuk ramah terhadap air dari amilum yang terdiri dari rantai pendek molekul glukosa.
D. amilalkohol - Ini adalah senyawa organik yang terbentuk ketika amilum terdegradasi oleh enzim amilase.
E. glikogen - Ini adalah bentuk simpanan glukosa yang ditemukan pada hewan, terutama di hati dan otot.

Makromolekul yang dapat berfungsi sebagai biokatalis untuk mempercepat hidrolisis amilum adalah amilase karena amilase adalah enzim yang memecah amilum menjadi glukosa melalui hidrolisis.

Jadi, jawaban akhirnya adalah:

Jawaban Akhir: A"
"Proses atau reaksi O (g) → O^-2 (g) melibatkan energi atomisasi dan afinitas elektron.
SEBAB
Pada proses tersebut gas oksigen teratomisasi terlebih dahulu dan kemudian menangkap 2 elektron.
",A,A,Jawaban Akhir: A
"logam alkali tanah berikut yg dapat bereaksi dengan air dingin adalah .
1. barium
2. stronsium
3. kalsium
4. magnesium ",A,A,"Alkali tanah adalah logam yang sangat reaktif dan biasanya ditemukan dalam bentuk senyawa seperti klorida atau sulfat. Reaksi dengan air dingin menghasilkan gas hidrogen dan larutan logam ionik.

Barium (Ba) dan Strontium (Sr) adalah alkali tanah yang cukup reaktif dan dapat bereaksi dengan air dingin untuk menghasilkan gas hidrogen dan larutan logam ionik. Kalsium (Ca) juga cukup reaktif tetapi biasanya tidak bereaksi dengan air dingin kecuali dalam kondisi tertentu. Magnesium (Mg) adalah logam transisi dan tidak bereaksi dengan air dingin.

Jadi, jawaban akhirnya adalah:

Jawaban Akhir: A. Jika (1), (2), dan (3) benar"
Suatu oksida logam bervalensi dua mengandung 80% unsur logam tersebut. Jika Ar O adalah 16 maka massa atom relatif dari logam itu adalah…,C,,"Untuk menentukan jawaban yang benar, kita perlu memahami konsep oksida logam dan bagaimana menghitung massa atom relatif.

Oksida logam adalah senyawa kimia yang terdiri dari satu logam dan dua atom oksigen. Dalam kasus ini, oksida logam memiliki valensi dua, yang berarti logam tersebut membentuk ikatan dengan dua atom oksigen.

Diketahui bahwa oksida logam mengandung 80% unsur logam tersebut. Ini berarti bahwa 20% dari oksida logam adalah oksigen. Karena Ar O = 16, maka jumlah massa atom relatif dari oksigen adalah 16.

Mari kita sebut massa atom relatif dari logam tersebut sebagai M. Karena oksida logam terdiri dari satu atom logam dan dua atom oksigen, maka rumus massa atom relatifnya adalah:

Massa Atom Relatif Oksida Logam = M + 2 * Ar O

Diketahui bahwa oksida logam mengandung 80% unsur logam tersebut, sehingga:

M = 0,8 * Massa Atom Relatif Oksida Logam

Sekarang, mari kita substitusi nilai yang diketahui ke dalam persamaan:

M = 0,8 * (M + 2 * 16)
M = 0,8 * (M + 32)

Kita dapat menyederhanakan persamaan ini:

M = 0,8M + 25,6
0,2M = 25,6
M = 25,6 / 0,2
M = 128

Namun, jawaban ini tidak sesuai dengan pilihan yang diberikan. Mari kita"
"Sukrosa (Mr  = 342) merupakan hasil kondenasi dari glukosa (Mr = 180) dan fruktosa (Mr = 180) dengan melepaskan satu molekul H2O. Jika 17,1 g sukrosa teroksidasi sempurna di dalam proses katabolisme, maka massa CO2 (Mr = 44) yang terjadi adalah...",D,,"Untuk menentukan massa CO2 yang terbentuk ketika 17,1 g sukrosa teroksidasi sempurna, kita perlu menghitung jumlah mol sukrosa dan kemudian menggunakan persamaan kimia reaksi pembakaran sukrosa untuk menemukan jumlah mol CO2 yang dihasilkan.

Langkah-langkahnya adalah sebagai berikut:

1. Hitung jumlah mol sukrosa:
   - Massa molar sukrosa (Mr) = 342 g/mol
   - Jumlah mol sukrosa = massa sukrosa / massa molar sukrosa
   - Jumlah mol sukrosa = 17,1 g / 342 g/mol = 0,05 mol

2. Tulis persamaan kimia reaksi pembakaran sukrosa:
   - Sukrosa + O2 → CO2 + H2O
   - Karena 1 mol sukrosa menghasilkan 2 mol CO2, kita dapat menulis persamaan sebagai:
   - C12H22O11 + xO2 → 12CO2 + 11H2O

3. Hitung jumlah mol CO2 yang dihasilkan:
   - Karena 1 mol sukrosa menghasilkan 2 mol CO2, maka 0,05 mol sukrosa akan menghasilkan 0,05 * 2 = 0,1 mol CO2

4. Hitung massa CO2 yang dihasilkan:
   - Massa molar CO2 (Mr) = 44 g/mol
   - Massa CO2 = jumlah mol CO2 * massa molar CO2
   - Massa CO2 = 0,1 mol * 44 g/mol = 4,4 g

Jadi, massa CO2 yang ter"
"SNMPTN 2012
Paduan logam yang terdiri atas 80% Zn (Ar = 65) dan 20% Cu (Ar = 63,5) habis bereaksi dengan HCl menghasilkan 2,24 L gas H2 pada STP. Massa paduan logam yang bereaksi adalah ….",D,,"Untuk menentukan massa paduan logam yang bereaksi, kita perlu menghitung jumlah mol gas H2 yang dihasilkan dan kemudian menggunakan persentase komposisi logam untuk menemukan massa logam yang bereaksi.

Langkah-langkahnya adalah sebagai berikut:

1. Hitung jumlah mol gas H2 yang dihasilkan.
   - Volume gas H2 pada STP adalah 2,24 L.
   - Jumlah mol gas H2 = volume / 22,4 L/mol = 2,24 L / 22,4 L/mol = 0,1 mol.

2. Tentukan jumlah mol setiap unsur (Zn dan Cu) yang bereaksi.
   - Karena reaksi antara Zn dan Cu dengan HCl sama, kita asumsikan bahwa jumlah mol Zn dan Cu yang bereaksi sama.
   - Misalkan jumlah mol Zn (dan Cu) yang bereaksi adalah x mol.

3. Hitung massa molar dari paduan logam.
   - Massa molar paduan logam = (massa Zn + massa Cu) / (jumlah mol Zn + jumlah mol Cu)
   - Massa molar paduan logam = (65x + 63,5x) / (x + x) = (128,5x) / (2x) = 64,25 g/mol.

4. Gunakan persentase komposisi logam untuk menemukan massa logam yang bereaksi.
   - Massa logam yang bereaksi = (massa molar paduan logam * jumlah mol logam yang bereaksi) / 100%
   - Massa logam yang bereaksi = (64,25 g/mol * 0,1 mol) / 100% = 6,425 g."
Tuladhane pengalaman sing nyenengake yaiku ... .,A,A,Jawaban Akhir: A
"Bapak pocung cangkeme madhep mandhuwur
Sabamu ing sendhang
Pencokanmu lambung kereng
Prapteng wisma si pocung mutah guwaya
Cangkriman ing ndhuwur batangane ….",B,C,"Penjelasan:

1. ""Bapak pocung cangkeme madhep mandhuwur"" - Ini menggambarkan sesuatu yang memiliki bagian atas yang melengkung.
2. ""Sabamu ing sendhang"" - Artinya ada lubang di bagian tengahnya.
3. ""Pencokanmu lambung kereng"" - Ini menunjukkan bahwa bagian bawahnya datar.
4. ""Prapteng wisma si pocung mutah guwaya"" - Ini menunjukkan bahwa bagian tengahnya bisa dibuka dan ditutup.
5. ""Cangkriman ing ndhuwur batangane"" - Ini menunjukkan bahwa ada pegangan di bagian atasnya.

Dari deskripsi tersebut, objek yang paling cocok adalah ember karena memiliki bentuk melengkung di bagian atas, memiliki lubang di tengah, bagian bawah datar, dan dapat dibuka dan ditutup di tengahnya.

Jawaban Akhir: C. Ember"
Pusakane Adipati karna kang kawentar ampuh yaiku ....,C,A,Jawaban Akhir: A
Ibu tindhak peken. Basa ngokone yaiku….,C,C,"Alasan sederhana: Kata 'tindhak' berarti bertindak atau melakukan sesuatu. Kata 'peken' berarti pedagang atau penjual. Jadi, ibu tindhak peken berarti seorang ibu yang bertindak sebagai pedagang.

Contoh: Seorang ibu yang menjual barang-barang di pasar disebut sebagai ibu tindhak peken.

Jawaban Akhir: C. Ibu lungo pasar"
"Wasana cekap semanten anggen kula matur, sanes wekdal kita lajengaken malih. perangan pidato mau diarani ....",D,D,Jawaban Akhir: D
"Kang nutupi kabeh awake pitik, yaiku ....",B,B,Jawaban Akhir: B
" Ali : “ ….. koe lunga?”
Diki : “Aku lunga saka pasar”
Tembung pitakon sing bener kanggo njangkepi ukoro ing dhuwur iku yaiku …",B,B,"Alasan sederhana: Tembungan pertanyaan ""Koe lunga?"" menunjukkan bahwa Ali ingin tahu dari mana Diki berasal. Pilihan yang paling sesuai untuk menjawab pertanyaan ini adalah ""Saka ngendi,"" karena ini secara langsung menjawab pertanyaan tentang asal usul Diki.

Jawaban Akhir: B"
"Saben sapada geguritan, dumahi saka siji .....",D,C,Jawaban Akhir: C
